EventId	UserId	ItemId	Timestamp
1	1	1	1336107630
2	2	1	1336035324
3	3	2	1323724470
4	4	2	1323745336
5	5	3	1347150070
6	6	3	1347185801
7	7	3	1347151600
8	8	4	1352847195
9	9	4	1352899334
10	10	5	1352330086
11	11	5	1352483486
12	12	5	1352370357
13	13	6	1349140227
14	14	6	1349144050
15	15	6	1349139555
16	16	7	1347973726
17	17	7	1347983416
18	18	7	1347977932
19	19	8	1328459611
20	20	8	1328711910
21	21	9	1319168422
22	22	9	1319168164
23	23	9	1319177709
24	24	10	1347779015
25	25	10	1347779456
26	26	10	1347791436
27	27	10	1347782710
28	28	10	1347782594
29	29	10	1347779406
30	30	10	1347790085
31	31	10	1347782917
32	32	10	1347782237
33	33	10	1347789708
34	34	10	1347794194
35	35	11	1353719337
36	36	11	1353726562
37	19	11	1353727750
38	37	11	1353722534
39	38	12	1352536080
40	39	12	1352599445
41	40	12	1352607274
42	41	12	1352601354
43	42	13	1335660059
44	43	13	1335665341
45	44	14	1351452887
46	45	15	1345328977
47	46	16	1346064542
48	47	16	1311352557
49	48	17	1342927546
50	49	17	1342937009
51	50	18	1348022347
52	51	18	1348030475
53	52	19	1335386327
54	53	19	1335413846
55	54	19	1335416950
56	55	20	1302484456
57	56	20	1302498897
58	57	21	1353250542
59	58	21	1353251300
60	59	21	1353252104
61	60	21	1353285273
62	61	21	1353288756
63	62	22	1351686460
64	27	22	1351730807
65	63	23	1328440009
66	64	23	1328454334
67	65	24	1340866061
68	43	24	1340869070
69	66	25	1308927325
70	67	25	1308974001
71	68	26	1346378808
72	69	26	1346375610
73	70	27	1351136818
74	71	28	1339999793
75	72	28	1339735000
76	73	28	1340088710
77	74	29	1349953291
78	75	29	1349953638
79	76	29	1349953586
80	77	29	1349953476
81	40	29	1349953814
82	78	29	1349954525
83	79	30	1353056222
84	80	30	1353113186
85	81	30	1353063574
86	59	30	1353113624
87	82	31	1349662218
88	83	31	1349682100
89	84	32	1339670782
90	85	32	1340017128
91	30	33	1343523409
92	86	34	1340686270
93	87	34	1340693693
94	8	35	1333923842
95	88	35	1333925122
96	89	36	1335154608
97	90	36	1335154393
98	91	37	1310476833
99	92	37	1310653316
100	93	38	1328435851
101	94	38	1353295584
102	6	38	1353390617
103	95	38	1353376277
104	80	38	1353406659
105	43	38	1353309650
106	96	38	1353352553
107	97	38	1353349483
108	33	38	1353371377
109	98	38	1353468224
110	41	38	1353372216
111	99	39	1334715201
112	100	39	1334715732
113	101	40	1326672018
114	102	40	1326680269
115	50	41	1324487883
116	103	41	1324540446
117	104	42	1351740838
118	43	42	1334644400
119	65	42	1350464577
120	105	43	1314895359
121	106	44	1348876852
122	107	45	1344090989
123	108	45	1344091404
124	81	46	1345044129
