UserId	ItemId	Timestamp
1	1	1352899472
2	1	1352872486
3	2	1352330702
4	2	1352488594
5	2	1352331038
6	2	1352521539
7	3	1347983987
8	3	1347981708
9	3	1347977747
10	3	1347989919
11	3	1347990052
12	4	1347785734
13	4	1347781860
14	4	1347790085
10	4	1347781588
15	5	1343274333
16	5	1343305315
17	6	1328229053
18	6	1328229193
19	7	1344016187
13	8	1337831134
16	8	1338376104
20	8	1338738196
21	9	1353284418
22	9	1353286160
23	9	1353367972
24	10	1351740466
25	10	1351772362
26	11	1293638762
27	11	1293639800
28	12	1322967626
29	13	1349960905
30	13	1349957545
31	14	1343490076
32	14	1343528913
14	14	1343523409
22	14	1343530057
33	14	1343488704
34	14	1343488101
35	14	1343530756
36	14	1343488236
37	14	1343528660
38	15	1353725525
39	15	1353841008
40	15	1353726413
41	16	1338200073
42	16	1338219202
43	17	1340404220
36	17	1340387244
44	18	1353368340
45	18	1353336087
12	18	1353324355
46	18	1353313970
47	18	1353504977
48	18	1353326389
49	18	1353368185
50	18	1353369934
51	18	1353369371
52	18	1353311877
39	18	1353334144
53	18	1353332102
54	18	1354417490
55	18	1353468224
56	18	1353369781
57	18	1353300644
58	18	1353371778
59	18	1353306476
39	19	1354322811
38	19	1354322558
60	20	1328267944
61	20	1302050612
1	21	1352018378
62	21	1351901118
11	21	1351902447
63	22	1351587391
18	22	1351574255
64	22	1351655586
65	22	1351612310
66	23	1319691614
67	23	1321347103
68	24	1327834526
69	24	1327765982
70	25	1343738177
71	25	1343774927
72	25	1343735328
73	25	1343749854
74	25	1343786080
75	25	1343815731
76	25	1344321089
77	25	1343742779
22	26	1347880751
78	27	1333357224
79	27	1333449518
80	28	1351384770
81	28	1351657813
82	28	1351489618
57	28	1351509329
83	29	1333177854
84	29	1333237679
8	30	1351515243
85	30	1345958728
86	30	1346115348
87	30	1346032312
78	31	1333247529
88	31	1333300594
89	31	1333248437
90	31	1333260764
70	32	1346683936
46	32	1346499494
1	32	1346512586
91	32	1346564925
12	33	1340182133
92	33	1341757291
93	33	1341325657
39	34	1353846862
94	34	1353822226
95	35	1346253900
96	35	1346294803
97	36	1352331993
98	36	1352532120
99	37	1353857050
100	37	1353915259
101	37	1353857178
102	37	1353863074
103	37	1353864647
104	37	1353856005
66	38	1329011388
13	38	1328941600
84	38	1330265425
105	38	1329031217
106	38	1328976217
107	39	1350433386
58	39	1350396602
108	40	1353110832
1	40	1353064213
109	40	1353047677
110	41	1314355287
111	41	1314326880
98	41	1352560330
112	41	1314316873
1	42	1350723002
98	42	1350718002
113	42	1350725252
114	43	1303069616
115	43	1303107561
116	44	1353295805
117	44	1353453866
118	45	1311516466
119	45	1311512129
97	46	1335047883
13	47	1337926192
120	47	1338079579
121	48	1336156758
122	48	1336599411
123	49	1299836016
124	49	1299832602
125	50	1345434734
126	50	1345462312
91	51	1342831336
65	51	1351984668
113	51	1351644872
127	52	1345306903
128	52	1345338641
46	53	1349106106
1	53	1349032094
104	53	1348979705
129	54	1344301773
130	54	1344301906
73	55	1344350790
131	55	1344351364
132	56	1336471421
133	56	1337572969
134	57	1333369652
135	57	1333599541
136	58	1336884336
137	59	1353131937
138	59	1353415061
139	60	1316063868
140	60	1315522150
31	61	1345261189
72	61	1345255260
51	62	1346596823
89	62	1346470759
13	63	1340977577
141	63	1341027075
142	64	1325932270
115	64	1325843826
143	65	1335435627
144	65	1335429561
1	66	1346342007
145	66	1346285739
146	66	1346286098
147	67	1346871759
96	67	1346848926
68	68	1344921756
148	68	1344901824
76	68	1344901923
149	69	1346778515
11	69	1346777932
49	70	1353036963
59	70	1352560213
150	71	1344680892
13	71	1344763269
144	71	1344685365
151	71	1344681069
148	71	1344784866
112	71	1344734950
152	71	1344673689
153	72	1336117814
46	72	1336144616
154	73	1353251461
155	73	1353241820
78	74	1331217343
156	74	1331178742
49	75	1352551058
157	75	1349104023
91	76	1353485023
38	76	1353457126
158	76	1353422879
7	77	1345369771
66	77	1345341239
13	77	1345376255
19	78	1346920744
80	79	1350437695
159	79	1350428525
91	79	1350436092
81	79	1350396237
19	79	1350397479
160	79	1350433344
161	79	1350603933
105	80	1353803146
64	80	1353824976
98	80	1353741458
162	80	1353832090
75	80	1353759145
163	80	1353734817
164	80	1353887378
11	80	1353738714
151	81	1344335980
19	81	1344341606
165	82	1334915262
121	82	1334915667
166	83	1343133565
13	83	1343033097
167	83	1343024562
68	84	1328509570
168	84	1328532865
169	85	1334737721
170	85	1334730792
13	86	1343473837
171	86	1343472038
172	87	1327578469
173	87	1327180039
174	88	1353118737
175	88	1353126894
100	89	1354149828
176	89	1354080209
177	89	1354096452
178	89	1354019956
44	90	1351987488
179	90	1351958364
180	91	1311675430
37	91	1311688695
83	92	1333177921
181	92	1333154618
182	93	1349605508
22	93	1349607090
104	93	1349539891
183	94	1353593303
184	94	1352286516
185	94	1352329144
102	94	1352332234
186	94	1352291793
187	94	1352267762
188	94	1352267557
189	94	1352351073
66	95	1325572721
144	95	1325599867
190	95	1325767689
191	95	1325708167
192	95	1325729253
193	95	1325561024
105	96	1347065134
194	96	1346339509
195	97	1303743110
196	97	1329271548
13	97	1346039460
84	97	1336387841
197	97	1339807135
198	97	1352708888
199	97	1339773285
200	98	1342933200
131	98	1342932627
201	98	1342933031
100	99	1352907901
202	99	1352911125
203	100	1348565787
76	100	1348566901
202	101	1353742521
1	101	1353742789
204	101	1353809505
205	101	1353742874
7	102	1346045348
46	102	1345988389
13	102	1346038260
149	102	1346004079
206	102	1345996465
207	102	1345993850
75	102	1345982010
147	102	1346061203
130	102	1345985054
208	103	1335840562
105	103	1335843227
17	104	1326527595
206	104	1326525791
209	104	1326524293
210	105	1349066685
179	105	1351822637
211	106	1353680825
73	106	1354380631
54	106	1355589824
212	107	1351483065
139	107	1351605014
213	108	1310958307
214	109	1351156844
22	109	1350912056
215	110	1303799741
37	110	1303829413
139	111	1328775268
216	111	1328787276
7	112	1348236487
8	112	1348278996
82	112	1351138808
161	112	1348292276
78	113	1333211543
18	113	1333201868
217	114	1353546892
70	115	1339145259
218	115	1339148317
170	115	1339113164
93	115	1339131014
219	116	1352817126
220	116	1352970544
91	117	1342323869
112	117	1342361313
36	117	1342797306
60	118	1324375525
135	118	1324443094
8	119	1352167231
60	119	1352658573
73	119	1352184037
175	119	1352178914
121	120	1354173596
39	120	1353888574
83	121	1345328909
150	121	1345333596
221	122	1292672658
180	122	1292686464
222	122	1292720119
48	123	1354053420
223	123	1354022372
224	124	1344851746
225	124	1344848962
226	125	1352292084
8	126	1349965091
125	126	1349991294
175	126	1349966505
189	126	1349960543
184	127	1353504379
121	127	1353315412
70	128	1348493594
227	128	1348421874
2	128	1349003562
228	129	1349402275
229	129	1349087108
42	130	1339081227
22	130	1339038651
230	130	1339043780
231	130	1339047160
232	131	1353374622
184	131	1353375271
49	131	1353387175
52	131	1353396383
39	131	1353374365
22	131	1353374536
95	131	1353380243
104	131	1353375951
163	131	1353406474
233	131	1353380443
59	131	1353387151
234	132	1312076378
235	132	1312089728
42	133	1335980651
151	134	1353987361
52	134	1353987641
110	135	1311643984
236	135	1311640188
237	135	1311581142
206	136	1346348367
1	136	1346381759
91	136	1346374197
19	136	1346350939
22	136	1346350506
238	136	1346373672
128	136	1346371750
239	137	1345217642
207	137	1345216742
211	138	1293455643
240	138	1294887547
241	138	1297823286
149	139	1351538793
120	139	1351512415
226	139	1351601368
185	140	1352328442
40	140	1352323285
242	141	1353238042
243	141	1351988363
40	141	1353238149
100	142	1352782028
212	142	1352789917
244	142	1352879036
6	142	1352848659
245	143	1350090210
81	143	1350193440
125	143	1350078800
62	144	1348270670
82	144	1348308172
246	144	1348237645
95	144	1348236305
247	145	1332375758
248	145	1335061640
24	146	1350040976
249	146	1350038986
46	146	1350039991
64	146	1350043958
250	146	1350124623
19	146	1350039576
251	146	1350060303
58	146	1350039503
36	146	1350039184
252	146	1350043882
134	147	1353396645
39	147	1353400070
253	148	1350090294
161	148	1350094079
144	149	1342239176
91	149	1342249245
86	149	1350442559
254	150	1340619490
