EventId	UserId	ItemId	Timestamp
1	1	1	1352899472
2	2	1	1352872486
3	3	2	1352330702
4	4	2	1352488594
5	5	2	1352331038
6	6	2	1352521539
7	7	3	1347983987
8	8	3	1347981708
9	9	3	1347977747
10	10	3	1347989919
11	11	3	1347990052
12	12	4	1347785734
13	13	4	1347781860
14	14	4	1347790085
15	10	4	1347781588
16	15	5	1343274333
17	16	5	1343305315
18	17	6	1328229053
19	18	6	1328229193
20	19	7	1344016187
21	13	8	1337831134
22	16	8	1338376104
23	20	8	1338738196
24	21	9	1353284418
25	22	9	1353286160
26	23	9	1353367972
27	24	10	1351740466
28	25	10	1351772362
29	26	11	1293638762
30	27	11	1293639800
31	28	12	1322967626
32	29	13	1349960905
33	30	13	1349957545
34	31	14	1343490076
35	32	14	1343528913
36	14	14	1343523409
37	22	14	1343530057
38	33	14	1343488704
39	34	14	1343488101
40	35	14	1343530756
41	36	14	1343488236
42	37	14	1343528660
43	38	15	1353725525
44	39	15	1353841008
45	40	15	1353726413
46	41	16	1338200073
47	42	16	1338219202
48	43	17	1340404220
49	36	17	1340387244
50	44	18	1353368340
51	45	18	1353336087
52	12	18	1353324355
53	46	18	1353313970
54	47	18	1353504977
55	48	18	1353326389
56	49	18	1353368185
57	50	18	1353369934
58	51	18	1353369371
59	52	18	1353311877
60	39	18	1353334144
61	53	18	1353332102
62	54	18	1354417490
63	55	18	1353468224
64	56	18	1353369781
65	57	18	1353300644
66	58	18	1353371778
67	59	18	1353306476
68	39	19	1354322811
69	38	19	1354322558
70	60	20	1328267944
71	61	20	1302050612
72	1	21	1352018378
73	62	21	1351901118
74	11	21	1351902447
75	63	22	1351587391
76	18	22	1351574255
77	64	22	1351655586
78	65	22	1351612310
79	66	23	1319691614
80	67	23	1321347103
81	68	24	1327834526
82	69	24	1327765982
83	70	25	1343738177
84	71	25	1343774927
85	72	25	1343735328
86	73	25	1343749854
87	74	25	1343786080
88	75	25	1343815731
89	76	25	1344321089
90	77	25	1343742779
91	22	26	1347880751
92	78	27	1333357224
93	79	27	1333449518
94	80	28	1351384770
95	81	28	1351657813
96	82	28	1351489618
97	57	28	1351509329
98	83	29	1333177854
99	84	29	1333237679
100	8	30	1351515243
101	85	30	1345958728
102	86	30	1346115348
103	87	30	1346032312
104	78	31	1333247529
105	88	31	1333300594
106	89	31	1333248437
107	90	31	1333260764
108	70	32	1346683936
109	46	32	1346499494
110	1	32	1346512586
