node	cascade	timestamp
1	1	1344867.1440
1	2	1344867.1440
1	3	1344867.1440
2	4	1344867.1440
2	5	1344867.1440
3	1	1344867.1480
3	3	1344867.1480
3	6	1344867.1480
3	7	1344867.1480
3	8	1344867.1480
3	9	1344867.1480
3	10	1344867.1480
3	11	1344867.1480
3	12	1344867.1480
3	13	1344867.1480
4	14	1344867.1520
5	8	1344867.1540
5	15	1344867.1540
5	16	1344867.1540
5	17	1344867.1540
5	18	1344867.1540
5	19	1344867.1540
5	20	1344867.1540
6	21	1344867.1630
6	22	1344867.1630
7	23	1344867.1650
8	24	1344867.1800
8	25	1344867.1800
9	17	1344867.1960
9	26	1344867.1960
9	27	1344867.1960
9	28	1344867.1960
9	29	1344867.1960
10	30	1344867.2090
11	31	1344867.2100
12	32	1344867.2180
13	33	1344867.2450
13	34	1344867.2450
13	35	1344867.2450
13	36	1344867.2450
13	37	1344867.2450
13	38	1344867.2450
13	1	1344867.2450
14	39	1344867.2460
15	11	1344867.2770
15	8	1344867.2770
15	9	1344867.2770
15	1	1344867.2770
15	3	1344867.2770
15	2	1344867.2770
15	40	1344867.2770
15	41	1344867.2770
15	42	1344867.2770
16	43	1344867.2930
17	44	1344867.2970
17	45	1344867.2970
17	46	1344867.2970
17	47	1344867.2970
17	48	1344867.2970
17	49	1344867.2970
17	50	1344867.2970
17	8	1344867.2970
17	3	1344867.2970
18	51	1344867.3090
18	52	1344867.3090
18	53	1344867.3090
18	54	1344867.3090
18	55	1344867.3090
19	56	1344867.3350
20	57	1344867.3710
21	58	1344867.3920
21	59	1344867.3920
21	42	1344867.3920
21	17	1344867.3920
21	20	1344867.3920
21	18	1344867.3920
21	8	1344867.3920
22	60	1344867.3950
23	61	1344867.4220
23	62	1344867.4220
23	15	1344867.4220
23	20	1344867.4220
23	3	1344867.4220
23	8	1344867.4220
24	63	1344867.4240
25	64	1344867.4270
25	65	1344867.4270
25	8	1344867.4270
25	11	1344867.4270
26	66	1344867.4300
27	67	1344867.4300
28	68	1344867.4770
28	69	1344867.4770
29	70	1344867.4800
29	11	1344867.4800
30	71	1344867.5000
31	8	1344867.5370
31	48	1344867.5370
32	72	1344867.5380
32	73	1344867.5380
32	74	1344867.5380
32	75	1344867.5380
32	76	1344867.5380
33	77	1344867.5400
33	78	1344867.5400
33	79	1344867.5400
34	68	1344867.5430
35	80	1344867.5550
36	81	1344867.5690
36	82	1344867.5690
36	83	1344867.5700
37	14	1344867.5760
38	84	1344867.5930
39	85	1344867.6370
40	3	1344867.6430
40	62	1344867.6430
